[1/26] eurusd...
[2/26] gbpusd...
[3/26] audusd...
[4/26] nzdusd...
[5/26] usdcad...
[6/26] usdchf...
[7/26] eurgbp...
[8/26] euraud...
[9/26] eurcad...
[10/26] eurchf...
[11/26] eurnzd...
[12/26] audnzd...
[13/26] audcad...
[14/26] audchf...
[15/26] gbpaud...
[16/26] gbpcad...
[17/26] gbpchf...
[18/26] gbpnzd...
[19/26] usdjpy...
[20/26] eurjpy...
[21/26] gbpjpy...
[22/26] audjpy...
[23/26] cadjpy...
[24/26] chfjpy...
[25/26] nzdjpy...
[26/26] gold...

=== DAILY — level reaction summary (min 50 touches) ===
  -0.2   False      27503              48.4                   40.1                40.7                0.0                51.6      0.0         True
   0.0    True      37707              49.0                   42.9                42.7               -0.6                51.0      0.0         True
   0.2    True      45501              50.2                   44.0                43.4               -1.3                49.8      0.4        False
   0.5    True      47736              50.3                   43.5                42.7               -1.6                49.7      0.2        False
   0.8    True      46518              50.2                   43.5                43.0               -1.2                49.8      0.3        False
   1.0    True      38988              49.5                   41.8                42.4                0.5                50.5      0.1        False
   1.2   False      28322              49.5                   38.6                39.1               -0.1                50.5      0.1        False
   1.5   False      20561              49.6                   37.1                37.3               -0.7                50.4      0.3        False
   2.0   False      11828              49.8                   35.4                35.6               -0.7                50.2      0.7        False
   2.5   False       7659              49.0                   34.3                35.1                0.4                51.0      0.1        False
   3.0   False       5329              48.9                   33.6                33.2               -0.9                51.1      0.1        False
   3.5   False       3900              49.2                   32.9                32.5               -1.3                50.8      0.3        False
   4.0   False       2932              49.9                   32.6                32.2               -2.1                50.1      0.9        False
   4.5   False       2237              50.2                   32.7                31.0               -3.6                49.8      0.8        False
   5.0   False       1747              49.2                   32.6                31.0               -3.0                50.8      0.5        False
   5.5   False       1365              47.8                   32.9                32.8               -0.1                52.2      0.1        False
   6.0   False       1070              49.1                   33.6                34.1                1.4                50.9      0.5        False
   6.5   False        858              48.6                   34.0                34.2                1.5                51.4      0.4        False
   7.0   False        692              46.7                   34.4                35.2                2.4                53.3      0.1        False
   7.5   False        540              48.7                   36.5                37.2                1.8                51.3      0.5        False
   8.0   False        438              50.0                   37.6                39.5                2.1                50.0      1.0        False
   8.5   False        372              49.5                   37.3                42.3                8.2                50.5      0.8        False
   9.0   False        302              49.0                   38.8                46.1               11.5                51.0      0.7        False
   9.5   False        257              45.1                   38.5                51.9               17.3                54.9      0.1        False
  10.0   False        205              43.9                   41.0                53.5               17.6                56.1      0.1        False
  10.5   False        167              47.3                   43.2                59.6               21.0                52.7      0.5        False

=== MONTHLY — level reaction summary (min 50 touches) ===
 level  is_key  n_touches  pct_continuation  avg_continuation_pips  avg_reversion_pips  avg_fade_pnl_pips  pct_mean_reversion  p_value  significant
  -1.5   False         74              39.2                  187.0               321.3              142.8                60.8      0.1        False
  -1.0   False        200              43.0                  180.8               221.5               58.6                57.0      0.0         True
  -0.5   False        538              48.1                  181.8               193.1                2.8                51.9      0.4        False
  -0.2   False        866              49.4                  188.3               188.6               -5.3                50.6      0.7        False
   0.0    True       1424              47.1                  192.0               191.2               -0.5                52.9      0.0         True
   0.2    True       1929              49.2                  187.8               196.8               10.0                50.8      0.5        False
   0.5    True       2091              50.0                  193.3               201.2                8.1                50.0      1.0        False
   0.8    True       2024              50.1                  197.6               204.9                8.3                49.9      0.9        False
   1.0    True       1552              51.3                  192.4               189.2               -9.0                48.7      0.3        False
   1.2   False        963              49.5                  175.4               169.3              -10.1                50.5      0.8        False
   1.5   False        563              50.4                  173.8               170.4               -7.1                49.6      0.8        False
   2.0   False        209              44.0                  170.1               206.9               44.8                56.0      0.1        False
   2.5   False         70              44.3                  193.0               260.1              103.8                55.7      0.3        False

=== MONDAY — level reaction summary (min 50 touches) ===
 level  is_key  n_touches  pct_continuation  avg_continuation_pips  avg_reversion_pips  avg_fade_pnl_pips  pct_mean_reversion  p_value  significant
  -9.0   False         54              35.2                   69.9               159.2              104.7                64.8      0.0         True
  -8.5   False         63              38.1                   73.8               166.6              114.5                61.9      0.1        False
  -8.0   False         78              37.2                   75.3               150.8               99.0                62.8      0.0         True
  -7.5   False         94              40.4                   79.1               130.6               59.7                59.6      0.1        False
  -7.0   False        118              40.7                   79.9               123.3               60.2                59.3      0.0         True
  -6.5   False        149              41.6                   79.8               107.8               37.8                58.4      0.0         True
  -6.0   False        191              43.5                   80.7               115.2               43.0                56.5      0.1        False
  -5.5   False        242              48.3                   82.8               105.4               22.6                51.7      0.6        False
  -5.0   False        310              47.1                   84.2                92.1                8.9                52.9      0.3        False
  -4.5   False        414              46.1                   82.5                82.4               -0.8                53.9      0.1        False
  -4.0   False        566              46.1                   80.2                80.5               -0.6                53.9      0.1        False
  -3.5   False        790              48.2                   77.6                78.1               -4.6                51.8      0.3        False
  -3.0   False       1101              49.9                   77.1                73.9               -8.9                50.1      0.9        False
  -2.5   False       1578              48.4                   75.8                74.2               -4.3                51.6      0.2        False
  -2.0   False       2302              48.3                   75.2                74.3               -2.9                51.7      0.1        False
  -1.5   False       3364              49.4                   76.6                75.3               -2.6                50.6      0.5        False
  -1.0   False       4844              50.5                   80.3                76.7               -5.5                49.5      0.5        False
  -0.5   False       6954              50.5                   85.2                83.2               -4.9                49.5      0.4        False
  -0.2   False       8268              50.4                   88.6                85.7               -5.0                49.6      0.5        False
   0.0    True       9724              50.9                   93.0                89.2               -5.8                49.1      0.1        False
   0.2    True      10922              50.8                   95.0                92.1               -4.1                49.2      0.1        False
   0.5    True      11378              50.4                   94.0                94.0               -0.9                49.6      0.4        False
   0.8    True      11176              49.6                   92.9                95.1                2.2                50.4      0.4        False
   1.0    True      10182              49.6                   90.4                92.7                2.3                50.4      0.5        False
   1.2   False       8639              49.6                   85.2                90.0                4.3                50.4      0.5        False
   1.5   False       7191              49.6                   81.9                85.5                3.4                50.4      0.5        False
   2.0   False       4989              47.9                   75.4                82.3                7.4                52.1      0.0         True
   2.5   False       3373              47.4                   71.2                80.2                9.8                52.6      0.0         True
   3.0   False       2239              47.4                   69.6                76.5                9.4                52.6      0.0         True
   3.5   False       1498              47.9                   68.9                77.8               11.1                52.1      0.1        False
   4.0   False       1046              48.8                   66.7                77.8                9.7                51.2      0.4        False
   4.5   False        719              44.8                   66.5                78.1               11.4                55.2      0.0         True
   5.0   False        500              45.2                   67.5                84.0               16.9                54.8      0.0         True
   5.5   False        357              45.9                   68.5                78.2               13.5                54.1      0.1        False
   6.0   False        265              46.4                   69.3                76.1               10.1                53.6      0.2        False
   6.5   False        207              45.9                   68.4                81.9               16.3                54.1      0.2        False
   7.0   False        161              46.0                   68.1                90.8               27.0                54.0      0.3        False
   7.5   False        131              39.7                   64.9                95.1               35.4                60.3      0.0         True
   8.0   False        102              44.1                   65.7                93.5               31.8                55.9      0.2        False
   8.5   False         83              39.8                   64.6               109.0               48.6                60.2      0.1        False
   9.0   False         69              34.8                   62.5               123.3               77.9                65.2      0.0         True
   9.5   False         53              39.6                   66.1               134.3               87.5                60.4      0.1        False

Saved CSVs to C:\Users\relli\OneDrive\Documents\Programming\Trading\v2 trading model\MacroFXModel\analysis\output\range_fib_reaction
